[2018-10-15T19:06:11-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2018-10-15T19:07:10-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-15T19:26:41-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-15T20:05:38-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-15T20:05:38-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-15T21:23:56-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-15T21:23:56-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-16T00:21:34-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-16T00:21:34-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-16T09:31:49-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-16T09:31:49-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-16T15:35:51-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-16T15:35:51-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-16T16:13:48-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-16T16:13:48-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-16T23:57:39-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-16T23:57:39-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-17T00:00:22-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-17T00:00:22-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-17T01:42:37-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-17T01:42:37-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-17T10:35:23-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-17T10:35:23-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-17T18:53:44-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-10-17T18:53:44-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-10-18T10:58:04-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-18T10:58:04-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-18T15:05:47-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-10-18T15:05:47-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-10-19T11:27:45-0500] DFHack 0.44.05-r2-0-g0e7ab278 on OS X; cwd md5: 34d8412e87; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
